"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_015136640.1",100858754,"NOS3","XP_015136640.1",-2.29353322825065,-2.54245445444689,0.259186079256114,0.00824667405663405,0.867468805520724
"XP_015157205.1",107056696,"LOC107056696","XP_015157205.1",-0.857550635407005,-0.862380527413665,2.11015396610446,0.00857561981636009,0.895762469908886
"XP_015151067.1",100857589,"LOC100857589","XP_015151067.1",-0.956428719765181,-0.962182396985126,3.56754002306111,0.00878472102885132,0.898722722686585
"XP_416379.3",418148,"KDM5A","XP_416379.3",-1.58826155990085,-1.59047322664761,4.84732465577763,0.00879101283252555,0.898722722686585
"XP_015152524.1",770191,"NOL9","XP_015152524.1",-0.47444301479983,-0.474561964491095,6.38319209458971,0.00881451551311311,0.898722722686585
"XP_001234075.4",770752,"PPAPDC1B","XP_001234075.4",-3.45068886160258,-144269481.551237,-0.380274399451721,0.00894893212376307,0.898722722686585
"XP_015129230.1",107049947,"TINF2","XP_015129230.1",-1.19104901588651,-1.21281925491729,0.793055902544743,0.00899033883241012,0.898722722686585
"XP_015140490.1",776812,"ATRAID","XP_015140490.1",-0.73632811506269,-0.739050614879496,3.6026339439072,0.00902229145948882,0.898722722686585
"XP_003642614.2",425575,"SLC30A2","XP_003642614.2",1.57148118495899,1.61319453488997,0.806831108730414,0.009025132784561,0.898722722686585
"XP_015139031.1",101749883,"POLR1B","XP_015139031.1",0.971815480249402,0.982964483973428,1.92788550169552,0.00911845508223129,0.902002407703899
"XP_015131684.1",422505,"WRN","XP_015131684.1",1.17234778501368,1.17822606586865,1.52779100508318,0.00924235049318799,0.904233649858578
"XP_015131431.1",428476,"KIAA0319","XP_015131431.1",0.738944721446507,0.743560836656417,5.13759183525397,0.00936962840125474,0.904233649858578
"XP_420987.3",423054,"AKIP1","XP_420987.3",0.634437670705974,0.634810558300734,3.17449913924345,0.00938267101905331,0.904233649858578
"XP_015130017.1",100859759,"LOC100859759","XP_015130017.1",-1.09763544793935,-1.11057501406656,0.831017019456581,0.0093831569744982,0.904233649858578
"NP_001182205.1",418120,"TMEM178B","NP_001182205.1",0.717669309969353,0.718387022421775,4.2894042517886,0.0095620632759306,0.915567558670355
"NP_989532.1",374028,"CLDN5","NP_989532.1",-1.91233093839056,-2.07074790191378,2.26302732732373,0.00980255316500855,0.926784708881538
"XP_015151945.1",419270,"SLC52A3","XP_015151945.1",-0.559022618672619,-0.559687034637466,3.51134622584069,0.00980532065525599,0.926784708881538
"XP_418188.3",420069,"APBA3","XP_418188.3",-0.53600053528033,-0.536231108020303,4.50902324180256,0.0100480879370448,0.926784708881538
"XP_004945211.1",425593,"SLC29A4","XP_004945211.1",1.04550915274712,1.06518465872633,4.73291706302669,0.0100580563845132,0.926784708881538
"XP_418047.3",419927,"BYSL","XP_418047.3",-0.57605143814014,-0.576888499586974,3.84637630338545,0.0100962574706985,0.926784708881538
"XP_015129982.1",107050779,"LOC107050779","XP_015129982.1",-0.74901736205809,-0.752660443851931,3.12932694029142,0.0101039053398236,0.926784708881538
"XP_015142632.1",428866,"CHST1","XP_015142632.1",1.75065825587561,1.85872261040238,4.53648095078629,0.0101135373600918,0.926784708881538
"XP_418969.1",420882,"PSMG4","XP_418969.1",-0.632203452928091,-0.634164507449662,4.04815754800872,0.0102536088280814,0.932086493644206
"XP_015129303.1",107050012,"LOC107050012","XP_015129303.1",-1.47127573489848,-1.51901428895133,0.608424222128449,0.0104069865402279,0.932086493644206
"XP_003642352.3",417147,"ADAMTSL2","XP_003642352.3",-2.53029113584485,-3.00567208138297,-0.967050781536683,0.0105104928303154,0.932086493644206
"NP_001264374.1",424888,"CPB1","NP_001264374.1",1.11473111715978,1.1205048925615,0.301660057933508,0.0106391815335966,0.932086493644206
"XP_015130043.1",107050860,"LOC107050860","XP_015130043.1",-1.09747527520376,-1.10875065861262,1.97748865625734,0.010738776971225,0.932086493644206
"XP_015135904.1",427284,"CLTA","XP_015135904.1",2.31733035262458,2.44859895382789,3.70669374327232,0.010759575454263,0.932086493644206
"NP_989662.1",374236,"DPF2","NP_989662.1",-0.562570063735604,-0.562706585156407,4.8270908713258,0.0108443390391043,0.932086493644206
"XP_015130203.1",107051018,"LOC107051018","XP_015130203.1",-0.596268027925124,-0.597878993785729,3.19579084767527,0.0109299272090807,0.932086493644206
"NP_001012884.1",421100,"KLHL14","NP_001012884.1",-0.713425571529549,-0.714414554602997,4.89868894177018,0.0109574936122021,0.932086493644206
"XP_015156815.1",100858707,"LOC100858707","XP_015156815.1",-1.20006485596281,-1.20625886338151,4.11213360255859,0.0109577421633542,0.932086493644206
"XP_015128913.1",107049672,"LOC107049672","XP_015128913.1",-2.51965134981005,-2.99495041642549,-0.445102023198605,0.0109934421847613,0.932086493644206
"XP_416713.4",418504,"DONSON","XP_416713.4",-2.58560749879523,-2.5943286048735,2.85543132669754,0.0110567176626627,0.932086493644206
"XP_015145829.1",424336,"NTNG1","XP_015145829.1",1.33230564293817,1.3777025654019,0.550243780428181,0.0111008063191651,0.932086493644206
"NP_001257506.1",419255,"UCKL1","NP_001257506.1",-0.971673343966929,-0.984260648017226,3.65568442840246,0.0111013662203281,0.932086493644206
"XP_015142131.1",423073,"USH1C","XP_015142131.1",-0.830889962243987,-0.833664878508474,6.17031229015483,0.0111074108501485,0.932086493644206
"XP_015146927.1",418212,"ITPR2","XP_015146927.1",0.552447553449786,0.552487649012262,8.15850302295112,0.0112275989519668,0.935452272815914
"XP_015147236.1",424997,"MECOM","XP_015147236.1",1.07531774041588,1.07769747170982,4.03437167763296,0.0112727729200552,0.935452272815914
"XP_015130470.1",107051366,"FRMD8","XP_015130470.1",-1.06019370937709,-1.07062751518485,1.64340598418183,0.0115168152660646,0.950423589111638
"XP_015141069.1",422719,"SORBS2","XP_015141069.1",-2.127496796861,-2.36772297075354,2.72840677341527,0.0116007830774348,0.952092839712326
"XP_015133523.1",395398,"NRXN1","XP_015133523.1",1.00891715444382,1.0214317550139,4.64816070770606,0.0116801845467972,0.952320632068006
"XP_001234221.1",772251,"CCDC56","XP_001234221.1",-0.957235688640278,-0.960632330174443,3.41175902073054,0.0117310702484109,0.952320632068006
"XP_015128632.1",100858619,"PCGF1","XP_015128632.1",-0.638043366756594,-0.640234745098597,3.00428708687146,0.0118191410065031,0.954283833589926
"XP_015130124.1",107050968,"RBM8A","XP_015130124.1",-0.633315519150338,-0.633698686579139,4.7758945103446,0.0119900709309203,0.955036712693751
"XP_015130384.1",107051252,"ABHD16A","XP_015130384.1",-0.548605582851282,-0.548974734142677,5.20474185738192,0.0120074400276291,0.955036712693751
"XP_424048.3",426398,"THOP1","XP_424048.3",-0.544494949110968,-0.544788253780898,5.43389862800619,0.0120332452085777,0.955036712693751
"XP_004945365.1",100859904,"LOC100859904","XP_004945365.1",0.46487737264505,0.464912867185043,6.34870749704901,0.0121453289832195,0.955036712693751
"XP_015147498.1",770318,"LOC770318","XP_015147498.1",0.508321344954519,0.50845405752925,5.04313363666454,0.0121610344755115,0.955036712693751
"XP_015153385.1",419671,"MACF1","XP_015153385.1",-1.73044099538952,-1.77955198120208,2.2469843101164,0.012212091592991,0.955036712693751
"XP_004945316.1",416564,"ARHGAP17","XP_004945316.1",1.27273799580988,1.27687869568412,3.16711364639833,0.0123706410638646,0.962397216515344
"XP_015132066.1",428743,"ETNPPL","XP_015132066.1",3.23279351037614,144269481.308315,2.23534814582339,0.0124702949622058,0.965123294562011
