"TXPID","ENTREZID","GENEBANKID","GENENAME","logFC","logCPM","F","PValue","FDR"
"RockDoveHPG_Transcript_21941",427375,"XM_001231707.4","IKBKAP",427375,-0.981691147647576,5.64996222432607,31.1151644204043,4.76510608877683e-07,8.11741456174782e-05
"RockDoveHPG_Transcript_35674",770492,"XM_001233833.3","LOC770492",770492,2.39657194952918,2.19546434991274,31.10205084239,4.78709874548245e-07,8.11741456174782e-05
"RockDoveHPG_Transcript_15527",395202,"XM_015299916.1","SH3GL1",395202,0.711517017071894,6.30911810180407,31.0541606538859,4.86830838159849e-07,8.11741456174782e-05
"RockDoveHPG_Transcript_7336",424019,"XM_015289165.1","MLPH",424019,2.5522168374434,6.75260019309787,31.1736425043215,4.89130396715039e-07,8.11741456174782e-05
"RockDoveHPG_Transcript_71614",100857243,"XM_015272569.1","LOC100857243",100857243,3.17081973342189,-0.353422576712898,30.8898979624248,5.15781866423903e-07,8.4551969991398e-05
"RockDoveHPG_Transcript_23453",427828,"XM_015296046.1","RTN4RL1",427828,1.53434482539714,4.03343438698406,30.8567389461065,5.21838406467277e-07,8.4551969991398e-05
"RockDoveHPG_Transcript_10663",427305,"XM_004949357.2","TMEM38B",427305,-1.13679710162537,4.31837029362197,30.8326713328605,5.26280305866204e-07,8.4551969991398e-05
"RockDoveHPG_Transcript_61891",427681,"XM_015294612.1","TMEM8A",427681,1.26178176479483,4.31779804761667,30.6797784055878,5.5542416922243e-07,8.82949031957594e-05
"RockDoveHPG_Transcript_17370",427902,"XM_015286207.1","CBX6",427902,1.55369716962447,5.82301797235834,30.6273158190398,5.66776800721059e-07,8.91610754634315e-05
"RockDoveHPG_Transcript_10420",419422,"XM_004947422.2","FAM132A",419422,2.13270382706154,2.80923156345865,30.5511647014254,5.8122767375665e-07,9.02654222783865e-05
"RockDoveHPG_Transcript_13279",427356,"XM_015280106.1","ZDHHC21",427356,-0.999488198311309,4.98108008917619,30.5292269695753,5.85750985517274e-07,9.02654222783865e-05
"RockDoveHPG_Transcript_62433",100858693,"XM_015277451.1","LOC100858693",100858693,4.82367489409407,0.785668870702951,30.4221381233328,6.08358573021394e-07,9.28023350481727e-05
"RockDoveHPG_Transcript_23756",395421,"NM_204686.2","annotated by transcript or proteomic data",395421,2.65651480322667,3.74005088845707,30.352639214361,6.28658651027851e-07,9.4940029478226e-05
"RockDoveHPG_Transcript_21249",426843,"XM_015277289.1","DYM",426843,0.863880100453781,7.19310036684046,30.1293222137079,6.74886924423187e-07,0.000100912300323158
"RockDoveHPG_Transcript_10032",768471,"XM_001231286.4","NUDT12",768471,-0.974387529843606,6.15761097773278,29.9902443194796,7.09072229455068e-07,0.000104984400090494
"RockDoveHPG_Transcript_13239",427419,"XM_424992.5","MYO3AL",427419,-1.1869170698889,5.53886037753227,29.8732204569938,7.3921902105114e-07,0.000108048084337128
"RockDoveHPG_Transcript_16112",427293,"NM_001006582.1","annotated by transcript or proteomic data",427293,-0.981388531484278,5.81088089107032,29.8548369537067,7.4407368368834e-07,0.000108048084337128
"RockDoveHPG_Transcript_21934",427322,"XM_015280713.1","Metazoa_SRP",427322,-1.04262593036788,3.9679593336019,29.7856591839159,7.62638699211234e-07,0.000108725929286239
"RockDoveHPG_Transcript_17191",427285,"XM_015280423.1","GNE",427285,-0.856671309613646,6.5279892385359,29.7838133888684,7.63140544586238e-07,0.000108725929286239
"RockDoveHPG_Transcript_15881",427159,"XM_424748.5","CWC27",427159,-1.18855943832622,6.57983672694003,29.6862846363302,7.90147769861721e-07,0.000111521603929455
"RockDoveHPG_Transcript_22966",424547,"NM_001004408.2","annotated by transcript or proteomic data",424547,4.30689176472813,2.17628906470534,29.4913885239766,8.47324226087149e-07,0.000118484170947853
"RockDoveHPG_Transcript_22007",419195,"XM_015296364.1","PKIG",419195,1.42420121427805,5.526549443235,29.2716333066645,9.16453023310978e-07,0.000126974986771031
"RockDoveHPG_Transcript_1171",421706,"XM_015284131.1","ARHGAP18",421706,1.09218759910248,7.65816786893265,29.0696653499152,9.85347249179673e-07,0.000135119046405701
"RockDoveHPG_Transcript_13625",428148,"XM_015296659.1","LAMA5",428148,1.15584012034439,5.84128738251432,29.0274166270999,1.00042252976055e-06,0.000135119046405701
"RockDoveHPG_Transcript_20048",427549,"NM_001031459.1","CEBPA",427549,1.87713675201571,3.42548491457633,29.0228261891973,1.00207477138383e-06,0.000135119046405701
"RockDoveHPG_Transcript_40661",427443,"XM_004937197.2","NUP155",427443,-1.16313228245524,5.62936504397944,28.9554647598372,1.02664668085301e-06,0.000137207240480019
"RockDoveHPG_Transcript_19475",427380,"XM_424952.4","TSTD2",427380,-0.911933777106809,5.56801622705966,28.927554820108,1.03700897205595e-06,0.000137376399087622
"RockDoveHPG_Transcript_14598",107048986,"XM_424967.5","LOC107048986",107048986,-1.10278102431468,6.57908188333181,28.8691026158348,1.05906204360001e-06,0.000139077869412586
"RockDoveHPG_Transcript_25552",422125,"XM_015295444.1","CASKIN2",422125,1.12297936433925,3.91013008084861,28.7742283482047,1.09589226639603e-06,0.000142599226121939
"RockDoveHPG_Transcript_4930",427137,"NM_001012944.1","annotated by transcript or proteomic data",427137,-1.0646891638973,6.50076048936601,28.7434987513255,1.10810284660535e-06,0.000142599226121939
"RockDoveHPG_Transcript_24412",420898,"XM_015282174.1","OVALX",420898,1.8807055901467,3.45983092067856,28.7241254738651,1.11587300107468e-06,0.000142599226121939
"RockDoveHPG_Transcript_15306",427153,"XM_015277594.1","ERCC8",427153,-1.08288134717346,4.48933691363755,28.704882900573,1.12364639839165e-06,0.000142599226121939
"RockDoveHPG_Transcript_14113",416385,"XM_414700.5","HDHD2",416385,-1.20031113654708,5.44605639609936,28.5972245912143,1.16817983254602e-06,0.000147015431925917
"RockDoveHPG_Transcript_337",425372,"XM_003642983.3","FREM3",425372,-1.0322375166225,5.1770225967124,28.3346251835805,1.28461012089387e-06,0.000160332083022639
"RockDoveHPG_Transcript_22496",427347,"XR_001464636.1","BX255923.2",427347,-1.17877879248041,4.75025703352971,28.2684638087797,1.3157908949441e-06,0.000162877656520048
"RockDoveHPG_Transcript_12215",395909,"NM_001110355.1","VEGFA",395909,0.95791908825308,5.48859265248872,28.2145587168284,1.3417723928462e-06,0.000164198731601612
"RockDoveHPG_Transcript_16689",427244,"XM_424827.5","FXN",427244,-1.06775806912258,5.37901986003572,28.2013721292627,1.34820836436233e-06,0.000164198731601612
"RockDoveHPG_Transcript_34515",395592,"NM_204805.2","annotated by transcript or proteomic data",395592,-5.78348497735625,2.93163009815644,28.2648256861644,1.36808208244504e-06,0.00016528620487268
"RockDoveHPG_Transcript_10125",421952,"NM_001045837.1","ZPAX",421952,4.16657580528785,5.3458854268454,28.1551364991816,1.42698173561375e-06,0.000171033953739991
"RockDoveHPG_Transcript_39401",396112,"XM_015272496.1","unclassified transcription discrepancy",396112,-2.4884071187053,3.21357741325195,27.9197867342257,1.49351633300351e-06,0.000177599083945031
"RockDoveHPG_Transcript_127",427107,"XM_424699.4","ARRDC3",427107,0.930092723931993,6.7061337324511,27.7283408665693,1.60146025835873e-06,0.000188865584712015
"RockDoveHPG_Transcript_27917",395684,"NM_204871.1","annotated by transcript or proteomic data",395684,-0.679114535202138,7.46368422829912,27.7082022788071,1.61327376690835e-06,0.000188865584712015
"RockDoveHPG_Transcript_14675",427370,"XM_424945.5","C9ORF72",427370,-0.930068477168557,6.51037405876919,27.6072428419676,1.67386784106571e-06,0.00019395185756689
"RockDoveHPG_Transcript_13192",416371,"XM_414685.4","BHMT",416371,-1.35528269669731,3.88355855134386,27.5933210482496,1.68240586288323e-06,0.00019395185756689
"RockDoveHPG_Transcript_26978",373985,"XM_015278152.1","CHRDL1",373985,-1.26583608241491,5.24065984172241,27.536749441241,1.71756539093664e-06,0.000196227509251481
"RockDoveHPG_Transcript_27849",427290,"XM_424872.5","PIGG",427290,-1.00713053307625,5.87577634344713,27.5199801843348,1.72813261359071e-06,0.000196227509251481
"RockDoveHPG_Transcript_15363",427257,"XM_004949170.2","NMRK1",427257,-1.0487375805524,5.56398475876747,27.4643775117411,1.76365348548937e-06,0.000198766380133287
"RockDoveHPG_Transcript_37089",771972,"XM_003642492.3","LOC771972",771972,3.37865029392077,1.92090125228641,27.3879494980696,1.81634273630767e-06,0.000203104277962956
"RockDoveHPG_Transcript_14106",768501,"XM_015280459.1","C5ORF30",768501,-1.0183471879678,4.40273408012002,27.3559529591339,1.83510245131714e-06,0.000203104277962956
"RockDoveHPG_Transcript_12871",427452,"XM_003643038.3","FRMD3",427452,-0.939695137647068,5.94858198028552,27.3449915025899,1.84249013911568e-06,0.000203104277962956
"RockDoveHPG_Transcript_72748",427296,"XM_015280425.1","RNF170",427296,-0.979156751921886,5.34080134331837,27.2242619875716,1.92591852218064e-06,0.000210762474796899
"RockDoveHPG_Transcript_8354",430689,"NM_001031592.1","annotated by transcript or proteomic data",430689,-0.854407130740887,4.38454035068699,27.1494423375215,1.97956936700407e-06,0.000215075227197809
"RockDoveHPG_Transcript_31897",107050350,"XM_015274112.1","LOC107050350",107050350,-1.64450027786691,4.08332386803742,27.1217176444149,1.99983950760683e-06,0.000215725544599131
"RockDoveHPG_Transcript_20033",396353,"NM_205391.1","annotated by transcript or proteomic data",396353,-1.76772015968352,6.52827085529039,27.101863680494,2.03689313008709e-06,0.000218164255677838
"RockDoveHPG_Transcript_15034",427460,"NM_001305107.1","AGTPBP1",427460,-0.764922670525471,6.99746556346862,27.0209876212079,2.07530642538521e-06,0.000220713222789912
"RockDoveHPG_Transcript_12028",100858057,"XM_003643092.3","HSDL2",100858057,-1.16507714693988,6.04400208783453,26.9839437183665,2.10379364374489e-06,0.000222178262991856
"RockDoveHPG_Transcript_42786",770601,"XM_015286251.1","B4GALNT4",770601,1.34710791029168,3.26016836275318,26.9476994062072,2.13205671206116e-06,0.000223290153584733
"RockDoveHPG_Transcript_341",415607,"XM_001233410.4","CTC-554D6.1",415607,-0.981933798515251,6.84153250363427,26.932667723577,2.14389301216966e-06,0.000223290153584733
"RockDoveHPG_Transcript_13101",374222,"XM_015280062.1","GLDC",374222,-1.00028074175066,5.76179268058595,26.8628678008651,2.19975031213316e-06,0.000227538556259144
"RockDoveHPG_Transcript_3245",396156,"XM_015280593.1","SMC2",396156,-1.17102217900769,6.42285795917199,26.7706430190262,2.27586524605974e-06,0.000233810319360505
"RockDoveHPG_Transcript_8172",395316,"NM_204611.1","annotated by transcript or proteomic data",395316,-1.41262403437018,4.97907044374827,26.6671331152498,2.3645400497206e-06,0.000241278944803247
"RockDoveHPG_Transcript_25218",427233,"XM_015280087.1","FOCAD",427233,-0.994251180843325,6.14768534203742,26.6419205135984,2.38667437202313e-06,0.000241903062861028
"RockDoveHPG_Transcript_12454",769322,"XM_015280436.1","STARD4",769322,-1.10714308064737,5.30848090787517,26.4863958813866,2.52802244689012e-06,0.000254521299952897
"RockDoveHPG_Transcript_14252",423365,"XR_001466830.1","FLVCR2",423365,1.86867235074074,2.52618836328858,26.295555251617,2.7133520686203e-06,0.000271371145300025
"RockDoveHPG_Transcript_471",770610,"XR_001470420.1","ABCA7",770610,-0.972389010443359,6.94029540597767,26.2105904599199,2.8003220051049e-06,0.000278226729744041
"RockDoveHPG_Transcript_71967",395761,"XM_015286576.1","TNNT3",395761,-8.48667507993997,4.92392742389693,26.3878352146579,2.85667833668199e-06,0.000281970955820728
