 Name	ovary	testes	pituitary	hypothalamus
 RockDoveHPG_Transcript_10387 	1	1	1	1
 RockDoveHPG_Transcript_10388 	1	1	1	1
 RockDoveHPG_Transcript_10390 	1	0	0	0
 RockDoveHPG_Transcript_10391 	1	1	1	1
 RockDoveHPG_Transcript_10392 	1	1	1	1
 RockDoveHPG_Transcript_10393 	1	1	1	1
 RockDoveHPG_Transcript_10394 	0	1	0	0
 RockDoveHPG_Transcript_10395 	1	1	1	0
 RockDoveHPG_Transcript_10397 	1	1	1	1
 RockDoveHPG_Transcript_10399 	0	1	1	1
 RockDoveHPG_Transcript_10400 	1	1	1	1
 RockDoveHPG_Transcript_10401 	1	1	1	1
 RockDoveHPG_Transcript_10402 	1	0	1	1
 RockDoveHPG_Transcript_10403 	1	1	1	1
 RockDoveHPG_Transcript_10405 	1	1	1	1
 RockDoveHPG_Transcript_10406 	1	1	1	1
 RockDoveHPG_Transcript_10408 	1	1	0	0
 RockDoveHPG_Transcript_10409 	1	1	1	1
 RockDoveHPG_Transcript_1041 	1	1	1	1
 RockDoveHPG_Transcript_10410 	1	1	1	1
 RockDoveHPG_Transcript_10411 	1	1	1	1
 RockDoveHPG_Transcript_10413 	1	1	1	1
 RockDoveHPG_Transcript_10415 	1	1	1	1
 RockDoveHPG_Transcript_10416 	1	1	0	0
 RockDoveHPG_Transcript_10417 	1	1	1	1
 RockDoveHPG_Transcript_10418 	1	1	1	1
 RockDoveHPG_Transcript_10419 	1	1	0	0
 RockDoveHPG_Transcript_1042 	1	1	1	1
 RockDoveHPG_Transcript_10420 	0	1	0	0
 RockDoveHPG_Transcript_10421 	0	1	1	1
 RockDoveHPG_Transcript_10422 	0	1	0	1
 RockDoveHPG_Transcript_10423 	1	1	1	1
 RockDoveHPG_Transcript_10425 	1	1	1	1
 RockDoveHPG_Transcript_10426 	1	1	1	1
 RockDoveHPG_Transcript_10428 	1	1	1	1
 RockDoveHPG_Transcript_10429 	1	1	1	1
 RockDoveHPG_Transcript_10431 	1	1	1	1
 RockDoveHPG_Transcript_10433 	0	1	0	0
 RockDoveHPG_Transcript_10435 	1	1	1	1
 RockDoveHPG_Transcript_10436 	1	1	1	1
 RockDoveHPG_Transcript_10438 	0	1	0	0
 RockDoveHPG_Transcript_10439 	1	1	1	1
 RockDoveHPG_Transcript_1044 	0	1	0	0
 RockDoveHPG_Transcript_10441 	1	1	1	1
 RockDoveHPG_Transcript_10442 	0	1	1	1
 RockDoveHPG_Transcript_10443 	1	1	0	0
 RockDoveHPG_Transcript_10445 	0	1	1	0
 RockDoveHPG_Transcript_10446 	1	1	1	1
 RockDoveHPG_Transcript_10447 	1	1	1	1
 RockDoveHPG_Transcript_10449 	1	1	1	1
 RockDoveHPG_Transcript_1045 	1	1	1	1
 RockDoveHPG_Transcript_10450 	1	1	1	1
 RockDoveHPG_Transcript_10451 	1	1	1	1
 RockDoveHPG_Transcript_10452 	1	1	1	1
 RockDoveHPG_Transcript_10455 	1	1	1	1
 RockDoveHPG_Transcript_10456 	1	1	1	1
 RockDoveHPG_Transcript_10457 	1	1	1	1
 RockDoveHPG_Transcript_10458 	1	1	1	1
 RockDoveHPG_Transcript_10460 	1	1	1	1
 RockDoveHPG_Transcript_10461 	1	1	1	1
 RockDoveHPG_Transcript_10462 	1	1	1	1
 RockDoveHPG_Transcript_10463 	1	1	1	1
 RockDoveHPG_Transcript_10465 	1	1	1	1
 RockDoveHPG_Transcript_10466 	0	0	1	1
 RockDoveHPG_Transcript_10468 	1	1	1	1
 RockDoveHPG_Transcript_10469 	1	1	1	1
 RockDoveHPG_Transcript_1047 	0	1	1	1
 RockDoveHPG_Transcript_10471 	0	1	1	1
 RockDoveHPG_Transcript_10472 	1	1	0	0
 RockDoveHPG_Transcript_10473 	1	1	1	1
 RockDoveHPG_Transcript_10474 	1	1	1	1
 RockDoveHPG_Transcript_10475 	1	1	1	1
 RockDoveHPG_Transcript_10476 	1	1	1	1
 RockDoveHPG_Transcript_10477 	0	0	0	0
 RockDoveHPG_Transcript_10478 	0	1	1	1
 RockDoveHPG_Transcript_1048 	1	1	1	1
 RockDoveHPG_Transcript_10481 	1	1	1	1
 RockDoveHPG_Transcript_10482 	1	1	1	1
 RockDoveHPG_Transcript_10483 	1	1	1	1
 RockDoveHPG_Transcript_10485 	1	1	1	1
 RockDoveHPG_Transcript_10486 	1	1	0	0
 RockDoveHPG_Transcript_10487 	1	1	1	1
 RockDoveHPG_Transcript_10488 	1	1	1	1
 RockDoveHPG_Transcript_10489 	1	1	1	1
 RockDoveHPG_Transcript_1049 	1	0	1	1
 RockDoveHPG_Transcript_10490 	1	0	1	1
 RockDoveHPG_Transcript_10491 	1	1	1	1
 RockDoveHPG_Transcript_10492 	1	1	1	1
 RockDoveHPG_Transcript_10493 	1	1	1	0
 RockDoveHPG_Transcript_10494 	1	1	1	1
 RockDoveHPG_Transcript_10495 	1	0	1	1
 RockDoveHPG_Transcript_10497 	1	1	1	1
 RockDoveHPG_Transcript_10499 	1	1	0	0
 RockDoveHPG_Transcript_105 	0	1	0	0
 RockDoveHPG_Transcript_1050 	0	0	1	1
 RockDoveHPG_Transcript_10500 	1	1	1	1
 RockDoveHPG_Transcript_10501 	1	1	1	0
 RockDoveHPG_Transcript_10502 	1	1	1	1
 RockDoveHPG_Transcript_10504 	1	0	1	0
 RockDoveHPG_Transcript_10505 	1	1	1	1
 RockDoveHPG_Transcript_10506 	1	1	1	1
 RockDoveHPG_Transcript_10507 	0	1	1	1
 RockDoveHPG_Transcript_1051 	1	1	1	1
 RockDoveHPG_Transcript_10510 	1	1	1	1
 RockDoveHPG_Transcript_10511 	1	1	1	1
 RockDoveHPG_Transcript_10513 	0	0	1	0
 RockDoveHPG_Transcript_10514 	1	1	1	1
 RockDoveHPG_Transcript_10515 	1	1	1	1
 RockDoveHPG_Transcript_10516 	1	1	1	1
 RockDoveHPG_Transcript_10517 	1	1	1	1
 RockDoveHPG_Transcript_10518 	1	1	1	0
 RockDoveHPG_Transcript_10520 	1	1	1	1
 RockDoveHPG_Transcript_10521 	1	1	1	1
 RockDoveHPG_Transcript_10522 	1	1	1	1
 RockDoveHPG_Transcript_10524 	0	0	1	1
 RockDoveHPG_Transcript_10526 	1	0	1	1
 RockDoveHPG_Transcript_10527 	1	1	1	1
 RockDoveHPG_Transcript_10528 	1	1	1	1
 RockDoveHPG_Transcript_10529 	1	1	1	1
 RockDoveHPG_Transcript_1053 	1	1	1	0
 RockDoveHPG_Transcript_10530 	1	0	1	1
 RockDoveHPG_Transcript_10532 	1	1	1	1
 RockDoveHPG_Transcript_10534 	1	1	1	1
 RockDoveHPG_Transcript_10535 	1	1	1	1
 RockDoveHPG_Transcript_10536 	1	1	1	1
 RockDoveHPG_Transcript_10537 	1	1	1	1
 RockDoveHPG_Transcript_10538 	1	1	1	1
 RockDoveHPG_Transcript_10539 	1	1	1	1
 RockDoveHPG_Transcript_1054 	1	1	1	1
 RockDoveHPG_Transcript_10540 	1	1	1	1
 RockDoveHPG_Transcript_10541 	1	1	1	1
 RockDoveHPG_Transcript_10543 	1	0	1	0
 RockDoveHPG_Transcript_10544 	1	1	1	1
 RockDoveHPG_Transcript_10545 	1	1	1	1
 RockDoveHPG_Transcript_10546 	1	1	1	1
 RockDoveHPG_Transcript_10547 	1	1	0	1
 RockDoveHPG_Transcript_10549 	1	1	1	1
 RockDoveHPG_Transcript_1055 	1	1	1	1
 RockDoveHPG_Transcript_10550 	1	1	1	1
 RockDoveHPG_Transcript_10551 	1	1	1	0
 RockDoveHPG_Transcript_10552 	1	1	1	1
 RockDoveHPG_Transcript_10553 	1	0	1	1
 RockDoveHPG_Transcript_10555 	1	1	1	1
 RockDoveHPG_Transcript_10556 	1	1	1	1
 RockDoveHPG_Transcript_10557 	1	1	1	1
 RockDoveHPG_Transcript_10558 	0	1	1	0
 RockDoveHPG_Transcript_10561 	1	1	0	0
 RockDoveHPG_Transcript_10562 	1	1	1	1
 RockDoveHPG_Transcript_10563 	0	0	1	1
 RockDoveHPG_Transcript_10564 	0	0	1	1
 RockDoveHPG_Transcript_10565 	1	1	1	1
 RockDoveHPG_Transcript_10566 	1	1	1	1
 RockDoveHPG_Transcript_10567 	1	1	1	1
 RockDoveHPG_Transcript_10568 	1	1	1	1
 RockDoveHPG_Transcript_10569 	1	0	1	1
 RockDoveHPG_Transcript_1057 	1	1	1	1
 RockDoveHPG_Transcript_10570 	0	0	1	0
 RockDoveHPG_Transcript_10571 	1	1	1	1
 RockDoveHPG_Transcript_10573 	1	1	1	1
 RockDoveHPG_Transcript_10576 	1	1	1	1
 RockDoveHPG_Transcript_10578 	1	1	1	0
 RockDoveHPG_Transcript_10580 	1	1	1	1
 RockDoveHPG_Transcript_10582 	1	0	0	1
 RockDoveHPG_Transcript_10583 	1	1	1	1
 RockDoveHPG_Transcript_10585 	1	1	1	1
 RockDoveHPG_Transcript_10587 	1	1	1	1
 RockDoveHPG_Transcript_10589 	1	1	1	1
 RockDoveHPG_Transcript_1059 	1	1	1	1
 RockDoveHPG_Transcript_10591 	1	1	1	1
 RockDoveHPG_Transcript_10593 	1	1	1	1
 RockDoveHPG_Transcript_10594 	1	1	1	0
 RockDoveHPG_Transcript_10595 	1	0	1	1
 RockDoveHPG_Transcript_10596 	1	0	1	0
 RockDoveHPG_Transcript_10597 	0	0	1	0
 RockDoveHPG_Transcript_10598 	1	1	1	1
 RockDoveHPG_Transcript_106 	1	1	1	1
 RockDoveHPG_Transcript_1060 	1	1	1	1
 RockDoveHPG_Transcript_10601 	1	1	1	1
 RockDoveHPG_Transcript_10602 	1	1	1	1
 RockDoveHPG_Transcript_10604 	1	1	1	1
 RockDoveHPG_Transcript_10606 	1	1	1	1
